qid,role,intent,grade,systems,question
RC-019,Regulatory and institutional compliance teams,sensor_data,answered-with-data,accessibility|cmms_work|policy_governance|sensor_telemetry,"Are equality, accessibility and reasonable-adjustment duties translated into named operational responsibilities, service standards and escalation routes?"
RC-020,Regulatory and institutional compliance teams,metadata,answered-with-data,contract_warranty|it_network|project_handover|security_incident|sensor_telemetry,"Who carries compliance responsibility outside normal hours, and are duty, emergency, deputy and handover arrangements current and testable?"
RC-021,Regulatory and institutional compliance teams,metadata,answered-with-data,asset_register|bms_plant|finance_cost|it_network|project_handover|survey_condition,"Which Abacws assets are regulated, safety-critical or subject to mandatory inspection, and can every asset be matched to its current owner, location and maintenance regime?"
RC-022,Regulatory and institutional compliance teams,capability,document-quoted,booking|hr_identity|permit_control|sensor_telemetry,"Where might actual room or zone use differ from the currently approved use, operating envelope or service conditions?"
RC-023,Regulatory and institutional compliance teams,asset_state,deflected,fire_life_safety|it_network|sensor_telemetry|statutory_compliance,"Which life-safety or other safety-critical systems are unavailable, impaired, isolated or overdue for test, and what authorised compensating controls are active?"
RC-024,Regulatory and institutional compliance teams,asset_state,deflected,accessibility|cmms_work|fire_life_safety|sensor_telemetry|space_inventory,"Are accessible entrances, routes, lifts, doors, toilets, refuges and assistance arrangements available as currently published, including temporary alternatives?"
RC-025,Regulatory and institutional compliance teams,capability,document-quoted,access_control|project_handover|sensor_telemetry,"Are controlled stores, cabinets, cold storage and sensitive materials maintained within their approved environmental, segregation and access conditions?"
RC-026,Regulatory and institutional compliance teams,sensor_data,answered-with-data,booking|fire_life_safety|sensor_telemetry,"In spaces with capacity or occupancy conditions, is there credible evidence that limits and event-specific controls are being respected?"
RC-027,Regulatory and institutional compliance teams,capability,document-quoted,cleaning_waste|contract_warranty|sensor_telemetry,"Are hazardous substances, controlled waste and other regulated materials stored, moved and collected under current authorised conditions?"
RC-028,Regulatory and institutional compliance teams,,unmeasured,project_handover|sensor_telemetry|user_reports,"Are water hygiene, ventilation and indoor-environment control tasks and operating conditions being delivered as specified in current competent schemes?"
RC-029,Regulatory and institutional compliance teams,metadata,answered-with-data,cmms_work|contract_warranty|permit_control|project_handover|sensor_telemetry|statutory_compliance,"For permit-controlled maintenance, construction or specialist work, are authorised scope, isolations, prerequisites, conditions and close-out evidence in place?"
RC-030,Regulatory and institutional compliance teams,sensor_data,honest-capability-answer,accessibility|it_network|sensor_telemetry,"When Abacws is open, are mandatory notices, public access information, visitor controls and fallback services accurate and available?"
RC-031,Regulatory and institutional compliance teams,metadata,answered-with-data,cmms_work|sensor_telemetry|statutory_compliance|survey_condition,"Which required inspections, tests and checks are due, overdue, incomplete or unusable because competence, scope, method, timing or evidence is inadequate?"
RC-032,Regulatory and institutional compliance teams,metadata,answered-with-data,it_network|project_handover|sensor_telemetry|survey_condition,"For the compliance decision in question, does monitoring cover the relevant assets, locations, periods and failure modes well enough to support any conclusion?"
RC-033,Regulatory and institutional compliance teams,capability,document-quoted,cmms_work|project_handover|sensor_telemetry|statutory_compliance,"Are instruments and sensors correctly mapped, commissioned, calibrated where required, time-aligned and healthy for the claims they are being used to support?"
